,name,summary,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
0,1517 Media,"1517 Media, formerly Augsburg Fortress Press, is the official publishing house of the Evangelical Lutheran Church in America (ELCA), also publishing for the Evangelical Lutheran Church in Canada (ELCIC) as Augsburg Fortress Canada. Headquartered on South Fifth Street in Minneapolis, Minnesota, in the former headquarters of the American Lutheran Church, Augsburg Fortress publishes Living Lutheran (founded 1831, named The Lutheran until 2016), the Lutheran Book of Worship (1978), the Lutheran Study Bible, and Evangelical Lutheran Worship (2006), as well as a range of academic, reference and educational books. Tim Blevins has served as the CEO of 1517 Media since August, 2018. Beth Lewis served as the CEO of Augsburg Fortress since September 3, 2002.[4]
",https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Augsburg_Fortress_logo.png/200px-Augsburg_Fortress_logo.png,United States,Books,1988,Evangelical Lutheran Church in America,Minneapolis,www.1517.media,,,0
1,Evangelical Lutheran Church in America,"
",https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/ELCA_Brandmark_Stacked.png/200px-ELCA_Brandmark_Stacked.png,Unknown,Unknown,Unknown,Unkown,Unknown,www.elca.org,,,1
2,37 INK,"37 INK is an American publisher launched in 2013 focusing on a diverse list including African American authors. It is an imprint of Simon & Schuster.
",-1,United States,Books,2013,Simon & Schuster,New York City,37 INK,,,2
3,A & C Black,"
",-1,United Kingdom,Books,1807; 214 years ago (1807),Bloomsbury Publishing,London,www.acblack.com,,,3
4,Ablex Publishing,"Alfred Smith Barnes (January 28, 1817 – February 17, 1888)[1] was an American publisher and philanthropist.  He was known as ""the General"".[2]
",-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,4
5,Abrams Books,"Abilene Christian University Press, also known as ACU Press, is an Abilene, Texas-based university press that is connected with Abilene Christian University.[1] Since being formed it has released or acquired 456 titles and as of 2013[update] the press releases, on average, thirty-six titles per year. The press is a member of the Association of American University Presses. The press publishes works in the areas of ""Christianity and Literature; Faith-Based Higher Education; History and Theology of the Stone-Campbell Movement; Texas History and Culture.""[2] Leafwood Publishers is an imprint of ACU Press.
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Abrams_Logo.svg/220px-Abrams_Logo.svg.png,United States,Books,"November 3, 1949; 71 years ago (1949-11-03)",La Martinière,New York City,www.abramsbooks.com,,,5
6,Ace Books,"Abrams, formerly Harry N. Abrams, Inc. (HNA), is an American publisher of art and illustrated books, children's books, and stationery.
",https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Ace-books-logo.png/220px-Ace-books-logo.png,United States,Books,1952; 69 years ago (1952),Berkley Books,New York City,www.penguin.com,,,6
7,Addison-Wesley,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Addison_Wesley_Logo.svg/220px-Addison_Wesley_Logo.svg.png,United States,Textbooks,1942; 79 years ago (1942),Pearson Education,Boston,www.savvas.com,,,7
8,Pearson Education,"
",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Pearson_logo.svg/220px-Pearson_logo.svg.png,United Kingdom,Textbooks,1844; 177 years ago (1844),Pearson plc,London,pearsoned.com,,,8
9,Adis International,"
",https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com,,,9
10,Airiti Press,"
",https://upload.wikimedia.org/wikipedia/en/c/ca/Airiti_Logo.jpg,Unknown,Unknown,2000,Unkown,Unknown,Not available,,,10
11,Airiti Inc,"Springer Science+Business Media, commonly known as Springer, is a German multinational publishing company of books, e-books and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.[1]
",https://upload.wikimedia.org/wikipedia/en/c/ca/Airiti_Logo.jpg,Unknown,Unknown,2000,Unkown,Unknown,Not available,,,11
12,Akashic Books,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/AkashicBooksLogo.jpg/220px-AkashicBooksLogo.jpg,United States,Books,1997,Unkown,Brooklyn,www.akashicbooks.com,,,12
13,Aladdin Paperbacks,"Airiti Incorporation (Chinese: 華藝數位) headquartered in Taipei, Taiwan, is a Chinese e-content provider of Chinese academic e-journals, Taiwanese academic e-journals, classical art images to more than 450 libraries in 2006 and has extended to more than 72,000 libraries in 112 countries and territories around the world.
",https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Aladdin_Paperbacks_Publishing_Logo_%28Simon_%26_Schuster%29.png/220px-Aladdin_Paperbacks_Publishing_Logo_%28Simon_%26_Schuster%29.png,United States,Books,"March 5, 1967; 54 years ago (1967-03-05)",Simon & Schuster,New York City,simonandschusterpublishing.com/aladdin/,,,13
14,Alfred A. Knopf,"Akashic Books is a Brooklyn-based independent publisher. Akashic Books' collection began with Arthur Nersesian's The Fuck Up [3] in 1997, and has since expanded to include Dennis Cooper's ""Little House on the Bowery"" series,[4] Chris Abani's Black Goat poetry series,[5] and the internationally successful ""Noir"" series,[6][7] originating with Brooklyn Noir,[8] since expanding to international titles such as ""Delhi Noir"" and ""Havana Noir.""
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Knopf_Borzoi_1920.png/220px-Knopf_Borzoi_1920.png,United States,Unknown,1915; 106 years ago (1915),Penguin Random House,New York City,knopf.knopfdoubleday.com,,,14
15,Allen & Unwin,"
",https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Allen_%26_Unwin_logo.svg/220px-Allen_%26_Unwin_logo.svg.png,Australia,Books,1914 (British arm)  1976 (Australia),Unkown,"Crows Nest, New South Wales",allenandunwin.com,110,"373,378,382,385",15
16,Allison & Busby,"An imprint of a publisher is a trade name under which it publishes a work. A single publishing company may have multiple imprints, often using the different names as brands to market works to various demographic consumer segments.[1]
",-1,England,Books,1967; 54 years ago (1967),Unkown,London,www.allisonandbusby.com,,,16
17,Alma Books,"
",-1,United Kingdom,Books,2005,Unkown,London,www.almabooks.com,,,17
